Date,Opponent,Result,W-L (Conference),HI Points,HI Rebounds,HI Assists,"Home/Away (Home 1, Away 0)","Win/Loss (Win 1, Loss 0)",Season Start Year,Score,Points Team Scored,Game ID,Team,Field Goal %,Three Point %,Free Throw %,Rebounds,Offensive Rebounds,Defensive Rebounds,Team Rebounds,Assists,Steals,Blocks,Total Turnovers,Fouls,Technical Fouls,Flagrant Fouls,Largest Lead
"Fri, Mar 18",vs 10 Georgia *,W68-65,24-10 (11-7),Thomas 19,Bryan-Amaning 6,Thomas 7,1,1,2011,68-65,68,310770264,Washington,46,41.7,73.7,40,11,25,4,9,3,1,15,13,0,0,7
"Sun, Mar 20",vs 2 North Carolina *,L86-83,24-11 (11-7),Ross 19,N'Diaye 11,Thomas 8,1,0,2011,86-83,83,310790153,Washington,45.8,52.6,100,42,14,26,2,17,6,2,13,20,0,0,11
"Tue, Nov 16",vs Eastern Washington,W98-72,2-0 (0-0),Holiday 18,Bryan-Amaning 10,Overton 8,1,1,2011,98-72,98,303200264,Washington,45.6,25,63,43,13,27,3,8,8,3,24,17,0,0,6
"Tue, Nov 23",vs Virginia *,W106-63,3-0 (0-0),Thomas 18,Holiday 9,Gaddy 6,1,1,2011,106-63,106,303260264,Washington,37.9,25,57.7,35,13,21,1,9,4,2,17,17,0,0,2
"Tue, Nov 23",vs 8 Kentucky *,L74-67,3-1 (0-0),Thomas 13,N'Diaye 10,Gaddy 4,1,0,2011,74-67,67,303270264,Washington,39.1,17.6,61.8,53,19,30,4,7,8,9,15,22,0,0,14
"Wed, Nov 24",vs 2 Michigan State *,L76-71,3-2 (0-0),Bryan-Amaning 15,Bryan-Amaning 6,Thomas 6,1,0,2011,76-71,71,303280264,Washington,49,34.8,72,38,13,18,7,11,8,5,20,22,0,0,7
"Tue, Nov 30",vs Long Beach State,W102-75,4-2 (0-0),Wilcox 20,Thomas 6,Overton 8,1,1,2011,102-75,102,303340264,Washington,42.6,42.1,60,31,14,16,1,14,7,2,18,14,0,0,2
"Sat, Dec 4",vs Texas Tech,W108-79,5-2 (0-0),Holiday 20,Holiday 9,Thomas 4,1,1,2011,108-79,108,303380264,Washington,46,30,72,40,15,18,7,11,4,3,20,20,0,0,2
"Sat, Dec 11",@ Texas A&M,L63-62,6-3 (0-0),Thomas 13,N'Diaye 7,Thomas 2,0,0,2011,63-62,62,303450245,Washington,37.7,27.3,100,38,10,23,5,11,9,3,20,24,0,0,3
"Wed, Dec 22",vs Nevada,W90-60,8-3 (0-0),Thomas 24,Bryan-Amaning 11,Gaddy 5,1,1,2011,90-60,90,303560264,Washington,28.3,16.7,72.7,44,13,29,2,5,2,4,11,17,0,0,0
"Wed, Dec 29",@ USC,W73-67 OT,9-3 (1-0),Bryan-Amaning 18,Bryan-Amaning 8,Thomas 3,0,1,2011,73-67,73,303630030,Washington,40,36.8,71,48,14,30,4,7,3,3,17,27,0,0,7
"Fri, Dec 31",@ UCLA,W74-63,10-3 (2-0),Bryan-Amaning 21,Bryan-Amaning 10,Thomas 9,0,1,2011,74-63,74,303650026,Washington,50,26.7,80,35,10,24,1,17,4,1,9,23,1,0,17
"Sun, Jan 16",@ California,W92-71,13-4 (5-1),Thomas 27,Bryan-Amaning 11,Thomas 13,0,1,2011,92-71,92,310160025,Washington,52.3,44.8,73.3,48,12,31,5,20,6,3,12,26,0,0,24
"Thu, Jan 20",vs Arizona,W85-68,14-4 (6-1),Thomas 22,N'Diaye 8,Thomas 10,1,1,2011,85-68,85,310200264,Washington,40,33.3,65.2,41,10,25,6,11,5,1,12,24,0,0,2
"Sat, Jan 22",vs Arizona State,W88-75,15-4 (7-1),Bryan-Amaning 30,Bryan-Amaning 9,Thomas 8,1,1,2011,88-75,88,310220264,Washington,50,60,73.7,28,4,21,3,14,4,1,15,22,0,0,6
"Sun, Jan 30",@ Washington State,L87-80,15-5 (7-2),Thomas 19,Holiday 12,Thomas 5,0,0,2011,87-80,80,310300265,Washington,37.1,35.5,79.3,48,15,31,2,12,8,5,24,26,0,0,7
"Thu, Feb 3",@ Oregon State,L68-56,15-6 (7-3),Suggs 18,Bryan-Amaning 10,Thomas 6,0,0,2011,68-56,56,310340204,Washington,32.3,24.1,47.4,33,8,24,1,12,2,1,13,25,0,0,5
"Sat, Feb 5",@ Oregon,L81-76,15-7 (7-4),Bryan-Amaning 21,N'Diaye 9,Thomas 6,0,0,2011,81-76,76,310362483,Washington,50.8,40.7,45.5,35,8,27,0,19,2,5,15,17,0,0,4
"Thu, Feb 10",vs California,W109-77,16-7 (8-4),Thomas 23,Bryan-Amaning 9,Thomas 9,1,1,2011,109-77,109,310410264,Washington,48.3,28.6,51.4,39,14,19,6,13,3,1,16,15,0,0,2
"Sat, Feb 12",vs Stanford,W87-76,17-7 (9-4),Thomas 22,Bryan-Amaning 6,Overton 4,1,1,2011,87-76,87,310430264,Washington,48.3,38.1,62.5,38,12,24,2,8,4,3,19,21,2,0,2
"Thu, Feb 17",@ Arizona State,W79-62,18-7 (10-4),Bryan-Amaning 22,Bryan-Amaning 12,Thomas 6,0,1,2011,79-62,79,310480009,Washington,44.6,30.8,70,49,14,31,4,21,2,10,9,22,1,0,21
